ID,Country,NACE_label,Org. type,NACE_section_label,Argument_Type,Argument_Label
6818,Japan,"Manufacture of computer, electronic and optical products",Industry or trade association,Manufacturing,1_argument,Scientific arguments
3935,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4564,Italy,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
4587,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
4589,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
5925,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6009,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6058,Germany,Manufacture of coke and refined petroleum products,Company,Manufacturing,1_argument,Scientific arguments
6148,Belgium,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6288,United States of America,Manufacture of chemicals and chemical products,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6353,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6427,Belgium,"Electricity, gas, steam and air conditioning supply",Industry or trade association,"Electricity, gas, steam and air conditioning supply",1_argument,Scientific arguments
6431,Germany,"Manufacture of computer, electronic and optical products",Company,Manufacturing,1_argument,Scientific arguments
6433,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6595,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6605,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
6832,Germany,Printing and reproduction of recorded media,Industry or trade association,Manufacturing,1_argument,Scientific arguments
6849,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
6970,Germany,"Manufacture of fabricated metal products, except machinery and equipment",Company,Manufacturing,1_argument,Scientific arguments
7285,France,unknown,Industry or trade association,Unknown,1_argument,Scientific arguments
7342,Germany,Manufacture of basic metals,Company,Manufacturing,1_argument,Scientific arguments
7391,Austria,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7487,Germany,Manufacture of rubber and plastic products,Company,Manufacturing,1_argument,Scientific arguments
7614,Germany,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
7625,France,Manufacture of other non-metallic mineral products,Regional or local authority,Manufacturing,1_argument,Scientific arguments
7645,Germany,Manufacture of chemicals and chemical products,Company,Manufacturing,1_argument,Scientific arguments
7694,Italy,Manufacture of machinery and equipment n.e.c.,Company,Manufacturing,1_argument,Scientific arguments
