gpt_stance,fine_sector,count,Description
against,C20,235,Manufacture of chemicals and chemical products
against,C28,133,Manufacture of machinery and equipment n.e.c.
against,C26,130,"Manufacture of computer, electronic and optical products"
against,C22,107,Manufacture of rubber and plastic products
against,individual,71,
against,C32,35,Other manufacturing
against,C24,32,Manufacture of basic metals
against,H49,23,Land transport and transport via pipelines
against,C10,22,Manufacture of food products
against,C21,18,Manufacture of basic pharmaceutical products and pharmaceutical preparations
against,C30,16,Manufacture of other transport equipment
against,C,14,Manufacturing
against,C13,14,Manufacture of textiles
against,C18,10,Printing and reproduction of recorded media
against,C25,8,"Manufacture of fabricated metal products, except machinery and equipment"
against,H52,8,Warehousing and support activities for transportation
against,J62,8,"Computer programming, consultancy and related activities"
against,B8,7,Other mining and quarrying
against,C19,7,Manufacture of coke and refined petroleum products
against,C23,7,Manufacture of other non-metallic mineral products
against,N82,7,"Office administrative, office support and other business support activities"
against,E38,6,"Waste collection, treatment and disposal activities; materials recovery"
against,J63,6,Information service activities
against,M74,6,"Other professional, scientific and technical activities"
against,B6,5,Extraction of crude petroleum and natural gas
against,C14,5,Manufacture of wearing apparel
against,J61,4,Telecommunications
against,N,4,Administrative and support service activities
against,D35,3,"Electricity, gas, steam and air conditioning supply"
against,H51,3,Air transport
against,Q86,3,Human health activities
against,S94,3,Activities of membership organisations
against,S95,3,Repair of computers and personal and household goods
against,T,3,Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use
against,C17,2,Manufacture of paper and paper products
against,C29,2,"Manufacture of motor vehicles, trailers and semi-trailers"
against,G46,2,"Wholesale trade, except of motor vehicles and motorcycles"
against,M72,2,Scientific research and development
against,B9,1,Mining support service activities
against,C16,1,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
against,F42,1,Civil engineering
against,G47,1,"Retail trade, except of motor vehicles and motorcycles"
against,J59,1,"Motion picture, video and television programme production, sound recording and music publishing activities"
against,M69,1,Legal and accounting activities
